gender,subCategory,articleType,baseColour,usage,style,weather_condition,trend_score
0,7,38,22,0,0,2,0.3
4,1,39,1,5,4,1,0.3
4,3,8,28,0,0,0,0.3
1,7,54,28,0,0,2,0.3
4,1,52,25,0,0,2,0.3
4,7,13,22,1,1,1,0.3
4,1,16,3,0,0,1,0.3
4,1,9,28,0,0,2,0.3
4,4,29,7,0,0,0,0.3
4,3,7,27,0,0,2,0.3
2,7,15,2,5,4,1,0.3
0,7,54,3,0,0,1,0.3
1,7,49,16,0,0,2,0.3
2,7,38,14,2,2,1,0.3
4,7,38,14,2,2,2,0.3
2,3,7,11,0,0,0,0.3
4,7,54,17,0,0,1,0.3
2,3,7,25,0,0,2,0.3
2,1,52,1,4,0,1,0.3
2,7,38,41,2,2,2,0.3
4,7,21,1,1,1,1,0.3
2,1,50,11,0,0,2,0.3
2,7,54,0,0,0,1,0.3
4,1,35,1,1,1,2,0.3
4,2,12,22,0,0,2,0.3
2,1,52,3,0,0,2,0.3
2,7,20,0,1,1,2,0.3
4,1,22,7,0,0,2,0.3
4,7,38,40,0,0,1,0.3
2,3,14,5,0,0,2,0.3
2,1,52,5,2,2,2,0.3
3,1,16,2,0,0,2,0.3
2,3,53,2,0,0,2,0.3
2,1,16,1,0,0,0,0.3
1,1,22,10,0,0,2,0.3
2,7,44,2,2,2,2,0.3
4,4,29,24,0,0,0,0.3
4,1,42,0,0,0,1,0.3
2,7,38,10,2,2,1,0.3
4,2,12,11,0,0,2,0.3
4,3,7,29,0,0,2,0.3
4,1,35,30,1,1,2,0.3
2,7,54,22,5,4,2,0.3
2,7,15,40,0,0,2,0.3
4,7,55,11,0,0,2,0.3
0,1,39,1,5,4,2,0.3
3,7,54,26,0,0,2,0.3
2,1,39,22,0,0,2,0.3
4,3,7,2,0,0,0,0.3
2,1,51,1,5,4,2,0.3
2,7,38,14,2,2,2,0.3
4,5,36,30,1,1,2,0.3
2,7,38,27,2,2,1,0.3
2,1,16,1,0,0,1,0.3
4,7,45,2,0,0,1,0.3
1,7,49,27,0,0,2,0.3
